run_id,seed,t,I,P,R,kappa,EH,bound
B-1.5,456,220,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,230,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,240,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,250,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,789,0,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,10,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,20,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,30,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,40,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,50,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,60,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,70,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,80,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,90,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,100,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,110,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,120,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,130,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,140,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,150,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,160,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,170,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,180,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
